"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_2048","","hypothetical protein","4","25","79","78","4.819277108433735","75.72815533980582","0.1579746835443038","0.000205120834034952","1.0","0.290094170162245","15","4","13","0.007385253906249998","0.11846923828124997"
"srfAD","","hypothetical protein","78","78","5","25","93.97590361445783","24.271844660194176","5.0","0.0006296645319946851","1.0","0.290094170162245","11","9","4","0.06542968749999997","0.548828125"
"group_2254","","hypothetical protein","80","82","3","21","96.3855421686747","20.388349514563107","6.829268292682927","0.0006921712873798555","1.0","0.290094170162245","7","6","2","0.125","0.4531249999999996"
"group_2258","","hypothetical protein","80","82","3","21","96.3855421686747","20.388349514563107","6.829268292682927","0.0006921712873798555","1.0","0.290094170162245","6","5","2","0.21875000000000003","0.6875000000000002"
"group_2255","","hypothetical protein","81","85","2","18","97.59036144578313","17.475728155339805","8.576470588235294","0.0007098957863106903","1.0","0.290094170162245","3","3","1","0.25","1.0"
"group_1873","ehpR","hypothetical protein","59","48","24","55","71.08433734939759","53.398058252427184","2.8168402777777777","0.0009960678196625182","1.0","0.290094170162245","6","6","3","0.03125","1.0"
"group_1368","","hypothetical protein","81","86","2","17","97.59036144578313","16.50485436893204","8.005813953488373","0.00129296761322309","1.0","0.290094170162245","2","2","1","0.5","1.0"
"group_1987","","hypothetical protein","6","26","77","77","7.228915662650602","74.75728155339806","0.23076923076923078","0.0014850689775405654","1.0","0.290094170162245","15","4","12","0.035156250000000014","0.11846923828124997"
"group_154","","hypothetical protein","58","48","25","55","69.87951807228916","53.398058252427184","2.658333333333333","0.0017416193411306329","1.0","0.290094170162245","7","6","3","0.125","0.9999999999999998"
"group_2523","","hypothetical protein","1","14","82","89","1.2048192771084338","86.40776699029125","0.07752613240418119","0.0019434733998702363","1.0","0.290094170162245","3","1","3","0.25","1.0"
